Item root[2699]['classTime'][2] added to iterable.
Item root[760]['classTime'][0] removed from iterable.
Item root[761]['classTime'][3] removed from iterable.
Item root[762]['classTime'][4] removed from iterable.
Item root[763]['classTime'][4] removed from iterable.
Item root[764]['classTime'][4] removed from iterable.
Item root[765]['classTime'][2] removed from iterable.
Item root[766]['classTime'][4] removed from iterable.
Item root[767]['classTime'][2] removed from iterable.
Item root[768]['classTime'][0] removed from iterable.
Item root[769]['classTime'][3] removed from iterable.
Item root[770]['classTime'][1] removed from iterable.
Item root[771]['classTime'][0] removed from iterable.
Item root[772]['classTime'][3] removed from iterable.
Item root[773]['classTime'][1] removed from iterable.
Item root[774]['classTime'][3] removed from iterable.
Item root[775]['classTime'][0] removed from iterable.
Item root[775]['classTime'][1] removed from iterable.
Item root[775]['classTime'][2] removed from iterable.
Item root[775]['classTime'][3] removed from iterable.
Item root[775]['classTime'][4] removed from iterable.
Item root[776]['classTime'][4] removed from iterable.
Item root[777]['classTime'][4] removed from iterable.
Item root[778]['classTime'][4] removed from iterable.
Item root[779]['classTime'][0] removed from iterable.
Item root[780]['classTime'][0] removed from iterable.
Item root[781]['classTime'][3] removed from iterable.
Item root[782]['classTime'][3] removed from iterable.
Item root[783]['classTime'][0] removed from iterable.
Item root[784]['classTime'][3] removed from iterable.
Item root[785]['classTime'][3] removed from iterable.
Item root[786]['classTime'][3] removed from iterable.
Item root[787]['classTime'][2] removed from iterable.
Item root[788]['classTime'][4] removed from iterable.
Item root[789]['classTime'][2] removed from iterable.
Item root[790]['classTime'][2] removed from iterable.
Item root[791]['classTime'][1] removed from iterable.
Item root[792]['classTime'][0] removed from iterable.
Item root[793]['classTime'][0] removed from iterable.
Item root[794]['classTime'][0] removed from iterable.
Item root[795]['classTime'][1] removed from iterable.
Item root[796]['classTime'][1] removed from iterable.
Item root[797]['classTime'][2] removed from iterable.
Item root[798]['classTime'][0] removed from iterable.
Item root[799]['classTime'][0] removed from iterable.
Item root[2320]['classTime'][4] removed from iterable.
Item root[2321]['classTime'][5] removed from iterable.
Item root[2322]['classTime'][3] removed from iterable.
Item root[2323]['classTime'][5] removed from iterable.
Item root[2324]['classTime'][5] removed from iterable.
Item root[2325]['classTime'][5] removed from iterable.
Item root[2326]['classTime'][4] removed from iterable.
Item root[2327]['classTime'][1] removed from iterable.
Item root[2328]['classTime'][5] removed from iterable.
Item root[2329]['classTime'][5] removed from iterable.
Item root[2330]['classTime'][4] removed from iterable.
Item root[2331]['classTime'][4] removed from iterable.
Item root[2332]['classTime'][3] removed from iterable.
Item root[2333]['classTime'][5] removed from iterable.
Item root[2334]['classTime'][3] removed from iterable.
Item root[2335]['classTime'][4] removed from iterable.
Item root[2336]['classTime'][4] removed from iterable.
Item root[2337]['classTime'][5] removed from iterable.
Item root[2338]['classTime'][4] removed from iterable.
Item root[2339]['classTime'][5] removed from iterable.
Item root[2359]['classTime'][0] removed from iterable.
Item root[2699]['classTime'][1] removed from iterable.
Item root[2682]['classTime'][0] removed from iterable.
Item root[2659]['classTime'][1] removed from iterable.
Item root[2686]['classTime'][1] removed from iterable.
Item root[2689]['classTime'][2] removed from iterable.
Item root[2690]['classTime'][0] removed from iterable.
Item root[2691]['classTime'][0] removed from iterable.
Item root[2692]['classTime'][3] removed from iterable.
Item root[2692]['classTime'][4] removed from iterable.
Item root[2693]['classTime'][3] removed from iterable.
Item root[2694]['classTime'][3] removed from iterable.
Item root[2695]['classTime'][0] removed from iterable.
Item root[2695]['classTime'][3] removed from iterable.
Item root[2696]['classTime'][2] removed from iterable.
Item root[2696]['classTime'][3] removed from iterable.
Item root[2697]['classTime'][3] removed from iterable.
Item root[2698]['classTime'][1] removed from iterable.
