Item root[226]['classTime'][5] added to iterable.
Item root[120]['classTime'][1] removed from iterable.
Item root[120]['classTime'][3] removed from iterable.
Item root[121]['classTime'][2] removed from iterable.
Item root[122]['classTime'][1] removed from iterable.
Item root[122]['classTime'][3] removed from iterable.
Item root[122]['classTime'][4] removed from iterable.
Item root[123]['classTime'][3] removed from iterable.
Item root[124]['classTime'][0] removed from iterable.
Item root[125]['classTime'][0] removed from iterable.
Item root[126]['classTime'][1] removed from iterable.
Item root[127]['classTime'][0] removed from iterable.
Item root[128]['classTime'][2] removed from iterable.
Item root[129]['classTime'][2] removed from iterable.
Item root[130]['classTime'][2] removed from iterable.
Item root[131]['classTime'][3] removed from iterable.
Item root[132]['classTime'][2] removed from iterable.
Item root[133]['classTime'][1] removed from iterable.
Item root[134]['classTime'][1] removed from iterable.
Item root[135]['classTime'][1] removed from iterable.
Item root[136]['classTime'][0] removed from iterable.
Item root[137]['classTime'][2] removed from iterable.
Item root[138]['classTime'][3] removed from iterable.
Item root[139]['classTime'][0] removed from iterable.
Item root[921]['classTime'][0] removed from iterable.
Item root[1682]['classTime'][0] removed from iterable.
Item root[1683]['classTime'][0] removed from iterable.
Item root[1684]['classTime'][0] removed from iterable.
Item root[1685]['classTime'][0] removed from iterable.
Item root[1686]['classTime'][0] removed from iterable.
Item root[1687]['classTime'][0] removed from iterable.
Item root[1688]['classTime'][1] removed from iterable.
Item root[1689]['classTime'][1] removed from iterable.
Item root[1690]['classTime'][1] removed from iterable.
Item root[1691]['classTime'][1] removed from iterable.
Item root[1692]['classTime'][1] removed from iterable.
Item root[1693]['classTime'][1] removed from iterable.
Item root[1694]['classTime'][1] removed from iterable.
Item root[1695]['classTime'][1] removed from iterable.
Item root[1696]['classTime'][1] removed from iterable.
Item root[1697]['classTime'][1] removed from iterable.
Item root[1698]['classTime'][1] removed from iterable.
Item root[1699]['classTime'][1] removed from iterable.
Item root[1700]['classTime'][1] removed from iterable.
Item root[1701]['classTime'][1] removed from iterable.
Item root[2462]['classTime'][5] removed from iterable.
Item root[2463]['classTime'][1] removed from iterable.
Item root[2464]['classTime'][4] removed from iterable.
Item root[2465]['classTime'][1] removed from iterable.
Item root[2466]['classTime'][4] removed from iterable.
Item root[2467]['classTime'][3] removed from iterable.
Item root[2468]['classTime'][3] removed from iterable.
Item root[2469]['classTime'][2] removed from iterable.
Item root[2470]['classTime'][2] removed from iterable.
Item root[2471]['classTime'][4] removed from iterable.
Item root[2472]['classTime'][1] removed from iterable.
Item root[2473]['classTime'][0] removed from iterable.
Item root[2474]['classTime'][4] removed from iterable.
Item root[2475]['classTime'][3] removed from iterable.
Item root[2476]['classTime'][2] removed from iterable.
Item root[2477]['classTime'][0] removed from iterable.
Item root[2478]['classTime'][3] removed from iterable.
Item root[2479]['classTime'][3] removed from iterable.
Item root[2480]['classTime'][3] removed from iterable.
Item root[2481]['classTime'][4] removed from iterable.
Item root[2485]['classTime'][2] removed from iterable.
Item root[2486]['classTime'][2] removed from iterable.
Item root[2487]['classTime'][4] removed from iterable.
Item root[2488]['classTime'][2] removed from iterable.
Item root[331] removed from iterable.
Item root[920] removed from iterable.
Item root[1027] removed from iterable.
Item root[1680] removed from iterable.
Item root[1681] removed from iterable.
Item root[2460] removed from iterable.
Item root[2461] removed from iterable.
Repetition change for item root[120]['classTime'][0].
Repetition change for item root[121]['classTime'][0].
Repetition change for item root[122]['classTime'][0].
Repetition change for item root[123]['classTime'][0].
Repetition change for item root[124]['classTime'][1].
Repetition change for item root[125]['classTime'][1].
Repetition change for item root[126]['classTime'][0].
Repetition change for item root[127]['classTime'][1].
Repetition change for item root[128]['classTime'][0].
Repetition change for item root[129]['classTime'][0].
Repetition change for item root[130]['classTime'][0].
Repetition change for item root[131]['classTime'][0].
Repetition change for item root[132]['classTime'][0].
Repetition change for item root[133]['classTime'][0].
Repetition change for item root[134]['classTime'][0].
Repetition change for item root[135]['classTime'][0].
Repetition change for item root[136]['classTime'][1].
Repetition change for item root[137]['classTime'][0].
Repetition change for item root[138]['classTime'][0].
Repetition change for item root[139]['classTime'][1].
Repetition change for item root[226]['classTime'][0].
Repetition change for item root[921]['classTime'][1].
Repetition change for item root[1682]['classTime'][1].
Repetition change for item root[1683]['classTime'][1].
Repetition change for item root[1684]['classTime'][1].
Repetition change for item root[1685]['classTime'][1].
Repetition change for item root[1686]['classTime'][1].
Repetition change for item root[1687]['classTime'][1].
Repetition change for item root[1688]['classTime'][0].
Repetition change for item root[1689]['classTime'][0].
Repetition change for item root[1690]['classTime'][0].
Repetition change for item root[1691]['classTime'][0].
Repetition change for item root[1692]['classTime'][0].
Repetition change for item root[1693]['classTime'][0].
Repetition change for item root[1694]['classTime'][0].
Repetition change for item root[1695]['classTime'][0].
Repetition change for item root[1696]['classTime'][0].
Repetition change for item root[1697]['classTime'][0].
Repetition change for item root[1698]['classTime'][0].
Repetition change for item root[1699]['classTime'][0].
Repetition change for item root[1700]['classTime'][0].
Repetition change for item root[1701]['classTime'][0].
Repetition change for item root[2462]['classTime'][0].
Repetition change for item root[2463]['classTime'][0].
Repetition change for item root[2464]['classTime'][0].
Repetition change for item root[2465]['classTime'][0].
Repetition change for item root[2466]['classTime'][0].
Repetition change for item root[2467]['classTime'][0].
Repetition change for item root[2468]['classTime'][0].
Repetition change for item root[2469]['classTime'][0].
Repetition change for item root[2470]['classTime'][0].
Repetition change for item root[2471]['classTime'][0].
Repetition change for item root[2472]['classTime'][0].
Repetition change for item root[2473]['classTime'][1].
Repetition change for item root[2474]['classTime'][0].
Repetition change for item root[2475]['classTime'][0].
Repetition change for item root[2476]['classTime'][0].
Repetition change for item root[2477]['classTime'][1].
Repetition change for item root[2478]['classTime'][0].
Repetition change for item root[2479]['classTime'][0].
Repetition change for item root[2480]['classTime'][0].
Repetition change for item root[2481]['classTime'][0].
Repetition change for item root[2485]['classTime'][0].
Repetition change for item root[2486]['classTime'][0].
Repetition change for item root[2487]['classTime'][0].
Repetition change for item root[2488]['classTime'][0].
Repetition change for item root[1040].
Repetition change for item root[1041].
Repetition change for item root[1820].
Repetition change for item root[1821].
Repetition change for item root[2600].
Type of root[226]['change'] changed from NoneType to str and value changed from None to "異動".
Type of root[226]['changeDescription'] changed from NoneType to str and value changed from None to "更換部份時間1/28".
Value of root[120]['room'] changed from "二A() 四A()" to "".
Value of root[121]['room'] changed from "三3,4(桌球室/Table tennis room)" to "".
Value of root[122]['room'] changed from "二A() 四A() 五A()" to "".
Value of root[123]['room'] changed from "四8,6,7(通GE 2006)" to "".
Value of root[124]['room'] changed from "一5,6,7(通GE 1008)" to "".
Value of root[125]['room'] changed from "一2,3,4(文LA 2004)" to "".
Value of root[126]['room'] changed from "二8,9(文FA 3007)" to "".
Value of root[127]['room'] changed from "一8,7(文FA 3009)" to "".
Value of root[128]['room'] changed from "三2,3,4(通GE 1008)" to "".
Value of root[129]['room'] changed from "三6,7(文LA 1004)" to "".
Value of root[130]['room'] changed from "三3,4(通GE 2006)" to "".
Value of root[131]['room'] changed from "四5,6,7(通GE 4016)" to "".
Value of root[132]['room'] changed from "三2,3,4(文FA 3007)" to "".
Value of root[133]['room'] changed from "二5,6,7(文LA 0002)" to "".
Value of root[134]['room'] changed from "二8,7(醫IL 3013)" to "".
Value of root[135]['room'] changed from "二8,9(通GE 1008)" to "".
Value of root[136]['room'] changed from "一3,4(同步遠距)" to "".
Value of root[137]['room'] changed from "三5,6,7(文LA 1003)" to "".
Value of root[138]['room'] changed from "四2,3,4(通GE 1010)" to "".
Value of root[139]['room'] changed from "一5,6,7(文LA 0001)" to "".
Value of root[893]['select'] changed from 0 to 1.
Value of root[895]['select'] changed from 0 to 1.
Value of root[897]['select'] changed from 0 to 1.
Value of root[900]['select'] changed from 0 to 1.
Value of root[903]['select'] changed from 0 to 1.
Value of root[906]['select'] changed from 0 to 1.
Value of root[910]['select'] changed from 0 to 1.
Value of root[918]['select'] changed from 0 to 1.
Value of root[921]['room'] changed from "一2,3,4,B(工 MS 4023)(實驗)" to "".
Value of root[922]['select'] changed from 0 to 2.
Value of root[923]['select'] changed from 0 to 2.
Value of root[927]['select'] changed from 0 to 1.
Value of root[928]['select'] changed from 0 to 1.
Value of root[929]['select'] changed from 0 to 1.
Value of root[930]['select'] changed from 0 to 1.
Value of root[933]['select'] changed from 0 to 3.
Value of root[937]['select'] changed from 0 to 3.
Value of root[941]['select'] changed from 0 to 3.
Value of root[943]['select'] changed from 0 to 1.
Value of root[945]['select'] changed from 0 to 1.
Value of root[947]['select'] changed from 0 to 1.
Value of root[950]['select'] changed from 0 to 3.
Value of root[951]['select'] changed from 0 to 2.
Value of root[953]['select'] changed from 0 to 3.
Value of root[954]['select'] changed from 0 to 2.
Value of root[959]['select'] changed from 0 to 3.
Value of root[961]['select'] changed from 0 to 3.
Value of root[962]['select'] changed from 0 to 3.
Value of root[963]['select'] changed from 0 to 1.
Value of root[965]['select'] changed from 0 to 1.
Value of root[968]['select'] changed from 0 to 1.
Value of root[978]['select'] changed from 0 to 1.
Value of root[979]['select'] changed from 0 to 1.
Value of root[980]['select'] changed from 0 to 1.
Value of root[981]['select'] changed from 0 to 1.
Value of root[986]['select'] changed from 0 to 1.
